"아이디","강의 아이디","강의 카테고리 아이디","강의 카테고리명","강의 명","비용","강의 구분","주차 사용 여부","분반 일련번호","수강신청 상태","강의 시작 일자","등록 일자","수강신청 시작 일자","수료증 로트 명","기관 아이디","기관명","기관 구","X좌표","Y좌표","추천여부","인기여부","신규여부","상태","강의 이미지 파일 경로","수집데이터 아이디","과목 아이디","미리보기 주소","콘텐츠 아이디","회차번호","회차수"
"ASP00001","S100120260121153253","202601169878864","국가전문자격","청소년상담사 3급 한방에 끝내기 : 필기 4과목_상담이론(2025)","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153253.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153253/01.mp4/playlist.m3u8","S100120260121153253","146864","1"
"ASP00001","S100120260121153236","202601164583934","금융/재테크","중독경제의 시대","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153236.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153236/01.mp4/playlist.m3u8","S100120260121153236","144254","1"
"ASP00001","S100120260121153394","202601163306402","사회/정치","핵심만 콕! RE100과 지속 가능한 미래구축","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153394.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153394/01.mp4/playlist.m3u8","S100120260121153394","145881","1"
"ASP00001","S100120260121153382","202601169333472","콘텐츠 제작","[HD]Illustrator(일러스트레이터) 2024 제대로 배우기 (활용) Part.2","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153382.png","","","https://mp.itgo.co.kr/mp4/M100804/01.mp4","S100120260121153382","145393","1"
"ASP00001","S100120260121153206","202601166900687","과학/환경","기술이 만드는 미래, 블록체인 혁명","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153206.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153206/01.mp4/playlist.m3u8","S100120260121153206","144073","1"
"ASP00001","S100120260121153436","202601169017624","역사/문화","2000년생이 온다, 초개인 세대 탐구","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153436.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153436/01.mp4/playlist.m3u8","S100120260121153436","145546","1"
"ASP00001","S100120260121153199","202601166381796","디지털 업무생산성","데이터 스토리텔링: 인포그래픽","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153199.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153199/01.mp4/playlist.m3u8","S100120260121153199","143997","1"
"ASP00001","S100120260121153231","202601161945535","마케팅/영업","위기극복 방정식, RE:티핑포인트","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153231.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153231/01.mp4/playlist.m3u8","S100120260121153231","144195","1"
"ASP00001","S100120260121153314","202601166381796","디지털 업무생산성","[HD]한번에 합격하는 ITQ 한글 2022 (2025 개정)  Part.1 기본 1","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153314.png","","","https://mp.itgo.co.kr/mp4/M110423/01.mp4","S100120260121153314","145166","1"
"ASP00001","S100120260121153083","202601164583934","금융/재테크","자기경영을 통한 강점발견-수익경영","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153083.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153083/01.mp4/playlist.m3u8","S100120260121153083","148354","1"
