"조서관리코드","프로젝트코드","지자체","조서유형(구분)","이전 조서관리코드","최상위 조서관리코드","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11500UTZ202402210002","11500PPL202402210004","강서구","신설","","","특별계획구역","","","강서구 화곡동 980-16번지","강서지구중심 지구단위계획구역","0","1","5594.4","5594.4","11500NTC202508040007"
"11000UTZ200412274544","11000PPL200412277461","서울특별시","변경","","11000UTZ200412274544","지구단위계획구역","","","강동구 성내동 378-15호, 16호, 17호","천호지구","","","","551.6","11000NTC200412277461"
"11305UTZ202404030001","11305PPL202404030006","강북구","신설","","","지구단위계획구역","","","강북구 번동 441-3번지 일대","번동 441-3번지 일대  주택정비형 재개발사업 지구단위계획구역","0","1","33701.8","33701.8","11305NTC202404050001"
"11000UTZ200008161350","11000PPL200008169795","서울특별시","신설","","11000UTZ200008161350","지구단위계획구역","","","노원구 공릉동 710 일원","공릉1지구(2공구)","0","","","172886.5","11000NTC200008169795"
"11000UTZ201107222831","11000PPL201106306145","서울특별시","변경","11000UTZ200405154452","11000UTZ200405154452","지구단위계획구역","","","관악구 남현동 1059, 1061번지","관악사당 제1종지구단위계획구역","71180","","","71180","11000NTC201106306145"
"11000UTZ201107222831","11000PPL201106306145","서울특별시","변경","11000UTZ200405154452","11000UTZ200405154452","지구단위계획구역","","","관악구 남현동 1059, 1061번지","관악사당 제1종지구단위계획구역","71180","","","71180","11000NTC201106306145"
"11000UTZ201601153300","11000PPL201510297624","서울특별시","폐지","11000UTZ201107222831","11000UTZ200405154452","지구단위계획구역","","","관악구 남현동 1059번지 일대","관악사당지구 지구단위계획구역","71180","2","71180","","11000NTC201510297624"
"11000UTZ201101252757","11000PPL201101205860","서울특별시","변경","11000UTZ199606250858","11000UTZ199606250858","지구단위계획구역","","","강서구 가양동 1456 일원","가양택지개발지구 지구단위계획구역","977265.8","2","750.4","976515.4","11000NTC201101205860"
"11000UTZ202512260030","11000PPL202512260011","서울특별시","신설","","","특별계획구역","","","노원구 중계동 364 일대","중계2택지 지구단위계획구역","0","1","30184.1","30184.1","11000NTC202512260006"
"11000UTZ202311290004","11000PPL202311290001","서울특별시","신설","","","지구단위계획구역","","","중구 산림동 275-3번지 일대","3-7구역","0","1","2723.1","2723.1","11000NTC202407080002"
"11000UTZ200811273704","11000PPL200802211808","서울특별시","신설","","11000UTZ200811273704","특별계획구역","","","목동 514번지 일원","","","","","3267.9","11000NTC200802211808"
"11000UTZ200205086095","11000PPL200205082511","서울특별시","신설","","11000UTZ200205086095","특별계획구역","","","화양동 111-85일대","","","","","3059.7","11000NTC200205082511"
"11000UTZ200503176132","11000PPL200503177860","서울특별시","변경","11000UTZ200002116079","11000UTZ200503176132","특별계획구역","","","","","3008.1","","","9866","11000NTC200503177860"
"11000UTZ199702131555","11000PPL199702136701","서울특별시","신설","","11000UTZ199702131555","지구단위계획구역","","","서대문구 남가좌동 295번지 일대","가좌지구 상세계획구역","0","","","53700","11000NTC199702136701"
